institution,canvas_host,country,curated
De Anza College,deanza.instructure.com,,0
Dean College,dean.instructure.com,,0
Decatur County Community Schools,decaturco.instructure.com,,0
Deer Creek Schools,deercreekschools.instructure.com,,0
Deerfield Academy,deerfield.instructure.com,,0
DeKalb High School,dist428.instructure.com,,0
Del Mar College,delmar.instructure.com,,0
Delano Joint Union HS District,djuhsd.instructure.com,,0
DeLaSalle High School,delasalle.instructure.com,,0
Delaware Area Career Center,dacc.instructure.com,,0
Delaware College Scholars,delawarecollegescholars.instructure.com,,0
Delaware State University,dsuonline.instructure.com,,0
Delaware Valley University - DelVal,delval.instructure.com,,0
DelCampo School,delcampo.instructure.com,,0
Deltion College,deltion.instructure.com,,0
Deniliquin High School,deniliquin.instructure.com,,0
Denison University,denison.instructure.com,,0
Denver Christian School,denverchristian.instructure.com,,0
Denver College of Nursing,dcn.instructure.com,,0
Denver Seminary,densem.instructure.com,,0
Derwentside College,derwentside.instructure.com,,0
DeSales University,desales.instructure.com,,0
Desert Christian Academy,desertchristianacademy.instructure.com,,0
Design Academy Eindhoven,designacademy.instructure.com,,0
Design Institute of San Diego,id.instructure.com,,0
Design Tech High School,dtechhs.instructure.com,,0
Detroit Country Day School,dcds.instructure.com,,0
Devry University,devryu.instructure.com,,0
Dexter Community Schools,dexterschools.instructure.com,,0
Diamond Silk Entrepreneur University,dseu.instructure.com,,0
Digital Campus,digitalcampus.instructure.com,,0
Dillard University,dillard.instructure.com,,0
Dine College,dinecollege.instructure.com,,0
Diocese of Broken Bay - Catholic Schools Office - CSO,dbb-catholic.instructure.com,,0
Diocese of Lincoln Schools,cdol.instructure.com,,0
"Dionisio Romero University, Lima",dionisioromerouniversity.instructure.com,,0
District School Board of Pasco County,pasco.instructure.com,,0
Divine Mercy University,ipsciences.instructure.com,,0
Divine Mercy University - SDC,divinemercy.instructure.com,,0
Dixie Technical College,dixietech.instructure.com,,0
Djarragun College,djarragun.instructure.com,,0
DLSMHSI - De La Salle Medical and Health Sciences Institute,dlshsi.instructure.com,,0
DN Colleges Group - North Lindsey,don.instructure.com,,0
Doane University,doane.instructure.com,,0
Dominican University,dominicanu.instructure.com,,0
Dominican University of California,duoc.instructure.com,,0
Don Bosco Prep,donboscoprep.instructure.com,,0
Don Honorio Ventura State University,pampangastateu.instructure.com,,0
Dongguk University Los Angeles,dula.instructure.com,,0
Donnelly College,donnelly.instructure.com,,0
Doonside Technology High School,doonside-h.instructure.com,,0
Dordt College,dordt.instructure.com,,0
Douglas Education Center,dec.instructure.com,,0
Downtown Doral Charter Upper School,ddcus.instructure.com,,0
Dr. Ida Rolf Institute®,rolf.instructure.com,,0
Dr. Patel High School,patelhighschool.instructure.com,,0
Drew University,drew.instructure.com,,0
Drury University,drury.instructure.com,,0
Dual Bridges Academy,dualbridges.instructure.com,,0
Dubbo School of Distance Education,dsode.instructure.com,,0
Ducere Global Business School,ducere.instructure.com,,0
Duneland School,duneland.instructure.com,,0
Dunwoody College of Technology,dunwoody.instructure.com,,0
Duquesne University,duq.instructure.com,,0
Dynamic Education Consulting & Solutions,decsolutions.instructure.com,,0
E-Science Institute,escienceinstitute.instructure.com,,0
E. O. Smith High School,eosmith.instructure.com,,0
Eagle Gate College,eaglegatecollege.instructure.com,,0
Eagle Ridge High School,eagleridgehigh.instructure.com,,0
Early Light Academy,earlylightacademy.instructure.com,,0
East Asia Institute of Management,easb.instructure.com,,0
East Brunswick Schools,ebnet.instructure.com,,0
East Carolina University,ecu.instructure.com,,0
East Central Catholic School,eccs.instructure.com,,0
"East Central College-Union, MO-Manual Accounts",eastcentralcollege.instructure.com,,0
East Noble School Corporation,eastnoble.instructure.com,,0
East Region Adult Education,erae.instructure.com,,0
East Side Adult Education,eastsideae.instructure.com,,0
East Side Union High,esuhsd.instructure.com,,0
East Texas Baptist University,etbu.instructure.com,,0
East Texas Medical Center - School of EMS,schoolofems.instructure.com,,0
East Valley Institute of Technology,evit.instructure.com,,0
Eastern Arizona College,eac.instructure.com,,0
Eastern Florida State College,easternflorida.instructure.com,,0
Eastern International College,eicollege.instructure.com,,0
Eastern Kentucky University,eku.instructure.com,,0
Eastern Michigan University,emich.instructure.com,,0
Eastern New Mexico University - Portales,enmu.instructure.com,,0
Eastern New Mexico University - Roswell,enmuroswell.instructure.com,,0
Eastern New Mexico University - Ruidoso,enmuruidoso.instructure.com,,0
Eastern Oregon University,eou.instructure.com,,0
Eastern Wyoming College,ewc.instructure.com,,0
Eastern York Sd,eysd.instructure.com,,0
Eastleigh College,eastleighcollege.instructure.com,,0
Eastside Catholic School,eastsidecatholic.instructure.com,,0
Eastside Prep,eastsideprep.instructure.com,,0
Eastwick College,eastwick.instructure.com,,0
ECA College of Health Sciences,eca-health.instructure.com,,0
ECA Graduate Institute,egi.instructure.com,,0
ECPI University,ecpi.instructure.com,,0
Edgewood University,edgewood.instructure.com,,0
Edison School -Student,edisonlearning.instructure.com,,0
Edmonds College,edmonds.instructure.com,,0
EDP University of Puerto Rico,edpvirtual.instructure.com,,0
Educare Envision College of Nursing,e3educationalservices.instructure.com,,0
Education Advisory Board,eab.instructure.com,,0
Education Centre of Australia,eca.instructure.com,,0
Education Company,tecglobal.instructure.com,,0
Education Platform - Google,educationplatform.instructure.com,,0
Education to Career Network of North San Diego County,etcn.instructure.com,,0
Educational Assessments Corporation,educationalassessmentscorporation.instructure.com,,0
Educational Service Unit 2,esu2.instructure.com,,0
Educational Service Unit 8,esu8.instructure.com,,0
Educators Institute powered by NCGYO,ncgyo.instructure.com,,0
Edustria High School,edustria.instructure.com,,0
EDvance College,edvance.instructure.com,,0
Edward Waters University,ew.instructure.com,,0
EHG Campus,ehg.instructure.com,,0
EIG Business School,aula.eigvirtual.com,,0
El Camino College,elcamino.instructure.com,,0
El Camino Real Charter High School,ecrchs.instructure.com,,0
El Dorado County Office Of Education,edcoe.instructure.com,,0
EL Education,eleducation.instructure.com,,0
El Paso - Texas Tech University Health Sciences Center,ttuhscelpaso.instructure.com,,0
Elev8 Online Schools,l4lonline.instructure.com,,0
Elevare College,elevarecollege.instructure.com,,0
Elevate Academy KY Rank Change,kyrankchange.instructure.com,,0
Eleven Fifty Academy,elevenfifty.instructure.com,,0
Elite Academic Academy,eliteaa.instructure.com,,0
Elizabeth City - Pasquotank Schools,ecpps.instructure.com,,0
Elizabeth City State University,ecsu.instructure.com,,0
Elizabeth International Hotel Management School,elizabethinternational.instructure.com,,0
Elizabethton City Schools,ecschools.instructure.com,,0
Elizabethtown College,etown.instructure.com,,0
Elk Island Catholic Schools- Students/Teachers,eics.instructure.com,,0
Elkhart Community Schools,elkhart.instructure.com,,0
Elkin City Schools,ecs.instructure.com,,0
Ellicott Mills Middle,hcpss.instructure.com,,0
Ellie University,elliekilpatrick.instructure.com,,0
Elmbrook Schools,elmbrook.instructure.com,,0
Elmira College,elmira.instructure.com,,0
Elon University,elon.instructure.com,,0
Emanuel School,emanuel.instructure.com,,0
Embry Riddle Aeronautical University,erau.instructure.com,,0
Emerge Education,emergeedu.instructure.com,,0
Emerson College,emerson.instructure.com,,0
Emmanuel College,emmanuel.instructure.com,,0
Empower College Prep,empowercollegeprep.instructure.com,,0
ENAE Business School,enae.instructure.com,,0
Endeavour College SA,endeavour.instructure.com,,0
Engineering Education Australia,eea.instructure.com,,0
Eno River Academy,enoriveracademy.instructure.com,,0
Ensign College,ensign.instructure.com,,0
Ensign Peak Academy,ensignpeakacademy.instructure.com,,0
Entrepreneur Education,entrepreneur.instructure.com,,0
Envision Science Academy,envision.instructure.com,,0
Episcopal Academy,episcopalacademy.instructure.com,,0
Episcopal High School,episcopalhighschool.instructure.com,,0
Episcopal School of Baton Rouge,episcopalbr.instructure.com,,0
Equippers College,equipperscollege.instructure.com,,0
Erikson Institute,eriksoninstitute.instructure.com,,0
ESCA Ecole de Management,esca.instructure.com,,0
Escola Dinâmica,escoladinamica.instructure.com,,0
Escola Lourenço Castanho,lourencocastanho.instructure.com,,0
Escola Miro,escolamiro.instructure.com,,0
Escola Móbile,escolamobile.instructure.com,,0
Escondido Union High,euhsd.instructure.com,,0
Escuela de Artes Plásticas y Diseño,eapd.instructure.com,,0
Escuela de Escritores,edeonline.instructure.com,,0
ESE Business School,esebs.instructure.com,,0
ESIC Business & Marketing School,esic.instructure.com,,0
ESIC University,esicuniversity.instructure.com,,0
ESN Escola Superior de Educação e Negócios,esn.instructure.com,,0
Espiritu Santo Catholic School,escs.instructure.com,,0
Estacada Web Academy,ewa.instructure.com,,0
Estonian Business School,ebs.instructure.com,,0
Eugene Dupuch Law School EDLS,edls.instructure.com,,0
EUI - European University Institute,learning.eui.eu,,0
Eureka College,eureka.instructure.com,,0
Evangel Seminary,evs.instructure.com,,0
Evangelical Christian School,goecs.instructure.com,,0
Evansville Day School,evansvilledayschool.instructure.com,,0
Eve College,evecollege.instructure.com,,0
Evergreen Valley College,evc.instructure.com,,0
Evergreen Virtual Academy,smor.instructure.com,,0
Excel Academy,excelacademy.instructure.com,,0
Excelsior University,excelsior.instructure.com,,0
Excelsum School,excelsum.instructure.com,,0
Explorer Home School Academy,explorershomeschool.instructure.com,,0
Explorer Hop Academy,explorerhop.instructure.com,,0
F.I.R.S.T. Institute,first.instructure.com,,0
Facultad Libre de Derecho de Monterrey,fldm.instructure.com,,0
Fagskolen Aldring og helse,aldringoghelse.instructure.com,,0
Fagskolen i Nord,fagskoleninord.instructure.com,,0
Fagskolen Innlandet,finn.instructure.com,,0
Fagskolen Vestfold og Telemark,fagskolentelemark.instructure.com,,0
Fairbridge Education,fairbridge.instructure.com,,0
Fairfield Community Schools,fcsd.instructure.com,,0
Fairhill School,fairhill.instructure.com,,0
Faith Academy of Marble Falls,famf.instructure.com,,0
Faith Baptist Bible College & Theological Seminary,fbbcts.instructure.com,,0
Faith Christian School,faithlafayette.instructure.com,,0
Faith Evangelical College & Seminary,faith.instructure.com,,0
Faith Family Academy Of Oak Cliff,faithfamilyacademy.instructure.com,,0
Falk Laboratory School,falkschool.instructure.com,,0
Family Education,croel.instructure.com,,0
FAMU-FSU College of Engineering,famu-fsu-eng.instructure.com,,0
Far Eastern University - Pampanga,feupampanga.instructure.com,,0
Fashion Retail Academy,fashionretail.instructure.com,,0
Father Ryan High School,fatherryan.instructure.com,,0
Faulkner University,faulkner.instructure.com,,0
Fayetteville State University,uncfsu.instructure.com,,0
Feather River College,frc.instructure.com,,0
Fede's Academy,farbelaez.instructure.com,,0
Felbry College,felbry.instructure.com,,0
Ferris State University,ferris.instructure.com,,0
Findlay City Schools,findlaycityschools.instructure.com,,0
FINE Mortuary College,fmc.instructure.com,,0
Finishing Trade Institute of Upper Midwest,ftium.instructure.com,,0
Firelands Regional Medical Center School of Nursing,firelands.instructure.com,,0
First Nation Education,firstnationeducation.instructure.com,,0
Fisher College,fisher.instructure.com,,0
Fisk University,fisk.instructure.com,,0
Five Keys Schools and Programs,fivekeyscharter.instructure.com,,0
Five Towns College,fivetowns.instructure.com,,0
Fjellhaug International University College,fih.instructure.com,,0
Flagler College,flagler.instructure.com,,0
Flatiron School,learning.flatironschool.com,,0
Florence City Schools,fcs.instructure.com,,0
Florida Agriculture and Mechanical University,famu.instructure.com,,0
Florida Atlantic University,fau.instructure.com,,0
Florida College,floridacollege.instructure.com,,0
Florida Education Institute,fei.instructure.com,,0
Florida Gateway College,fgc.instructure.com,,0
Florida Gulf Coast University,fgcu.instructure.com,,0
Florida Gulf Coast University Innovate,fgcuinnovate.instructure.com,,0
Florida Institute of Technology,fit.instructure.com,,0
Florida Memorial University,fmu.instructure.com,,0
Florida Panhandle Technical College,fptc.instructure.com,,0
Florida Polytechnic,floridapolytechnic.instructure.com,,0
Florida Southern College,flsouthern.instructure.com,,0
Florida SouthWestern State College,fsw.instructure.com,,0
Florida SouthWestern State College CE,edisonce.instructure.com,,0
Florida State College at Jacksonville,fscj.instructure.com,,0
Florida State Fire College,floridastatefirecollege.instructure.com,,0
Florida Virtual Campus,flvc.instructure.com,,0
Florida Vocational Institute,fvi.instructure.com,,0
Fluvanna County Public School,fluco.instructure.com,,0
Fontbonne University,fontbonneuniversity.instructure.com,,0
Foothill College,foothillcollege.instructure.com,,0
Foothills Regional High School,foothillscharter.instructure.com,,0
Forsvarets høgskole,forsvaret.instructure.com,,0
Fort Lewis College,flc.instructure.com,,0
Foundation for Advanced Education in the Sciences,faes.instructure.com,,0
Four County Career Center,fourcounty.instructure.com,,0
Framingham State University,framingham.instructure.com,,0
Frances Xavier Warde School,fxw.instructure.com,,0
Franciscan University of Steubenville,franciscan.instructure.com,,0
Frankfurt International School,fis.instructure.com,,0
Frankfurt School,frankfurtschool.instructure.com,,0
Franklin Academy HS,franklinacademy.instructure.com,,0
Franklin and Marshall College,fandm.instructure.com,,0
Franklin College,franklincollege.instructure.com,,0
Franklin Pierce Schools,fpschools.instructure.com,,0
Franklin Pierce University,franklinpierce.instructure.com,,0
Franklin University Local,franklin.instructure.com,,0
Fraser Coast Anglican College,fcac.instructure.com,,0
Frayser Community Schools,fraysercs.instructure.com,,0
Fred Nicholson School,frednicholson.instructure.com,,0
Freed-Hardeman University,fhu.instructure.com,,0
Freedom Academy,freedomprep.instructure.com,,0
Freedom Classical Academy,fcanlv.instructure.com,,0
"Freedom College of Business, Healthcare, and Technology",freedomcollege-canada.instructure.com,,0
Freedom Project Education,fpeusa.instructure.com,,0
Fremont College,fremont.instructure.com,,0
Fremont Community Schools Student/Faculty,freemontcommunityschools.instructure.com,,0
Frenchtown Elementary School,fes.instructure.com,,0
Fresno City College,scccd.instructure.com,,0
Fresno Pacific University,fresno.instructure.com,,0
Friendship Public Charter Schools,friendshippcs.instructure.com,,0
Frontenac Schools,frontenac249.instructure.com,,0
Frontier Charter Academy,fca.instructure.com,,0
Frontier Nursing University,frontiernursing.instructure.com,,0
Frostburg State University,frostburg.instructure.com,,0
Fuller Theological Seminary,fuller.instructure.com,,0
Fullerton College,fullcoll.instructure.com,,0
Fullerton Elementary,myfsd.instructure.com,,0
Functional Medicine Coaching Academy,fmca.instructure.com,,0
Fundación Universidad Carlos III,uc3m.instructure.com,,0
Fundación Universidad Empresa - ZONA FUE,fue.instructure.com,,0
Fundación Universitaria Católica del Norte,fucn.instructure.com,,0
Fundación Universitaria CEIPA,ceipa.instructure.com,,0
Fuqua School of Business,fuqua.instructure.com,,0
Fusion Global Academy,fusion.instructure.com,,0
FutureFit Academy,bhp.instructure.com,,0
Gainesville City Schools,gcss.instructure.com,,0
Galala University,mygu.instructure.com,,0
Galloway School,gallowayschool.instructure.com,,0
Galt Adult School,galtas.instructure.com,,0
Galveston College,gc.instructure.com,,0
Gannon University,gannon.instructure.com,,0
Gardner-Webb University,gardnerwebb.instructure.com,,0
Garrett-Evangelical Theological Seminary,garrettets.instructure.com,,0
Gateway Seminary,gs.instructure.com,,0
Gather 'Round Homeschool Online Academy,gatherround.instructure.com,,0
Gavilan College,gavilan.instructure.com,,0
Gear Education,geareducation.instructure.com,,0
Geisinger Commonwealth School of Medicine,geisinger.instructure.com,,0
Gem Prep,gemprep.instructure.com,,0
Gen Z Cyber Academy,gen-z-cyber.instructure.com,,0
Genesis Innovation Academy,giacademy.instructure.com,,0
George Fox University,georgefox.instructure.com,,0
George School,georgeschool.instructure.com,,0
George Stevens Academy,georgestevensacademy.instructure.com,,0
George Washington Academy,gwacademy.instructure.com,,0
George Whitefield College,gwc.instructure.com,,0
Georgetown College,georgetowncollege.instructure.com,,0
Georgia Cyber Academy,georgiacyber.instructure.com,,0
Georgia Institute of Technology,gatech.instructure.com,,0
Georgia Military College,gmcusa.instructure.com,,0
Georgia State Schools,gastateschools.instructure.com,,0
Georgia State University (Robinson College of Business),robinsongsu.instructure.com,,0
Georgia Tech Professional Education,gtpe.instructure.com,,0
Georgia Virtual School,gavirtual.instructure.com,,0
Geraldton Christian College,geraldtonchristiancollege.instructure.com,,0
Gillette College,gillettecollege.instructure.com,,0
Gilman School,gilman.instructure.com,,0
Glasgow Clyde College,glasgowclyde.instructure.com,,0
Glendora Unified,glendora.instructure.com,,0
Glenwood High School,glenwoodhs.instructure.com,,0
Global Academy,globalacademy.instructure.com,,0
Global Online Academy,globalonlineacademy.instructure.com,,0
Global Open University,gou-mx.instructure.com,,0
Global School for Entrepreneurship,globalschool.instructure.com,,0
Global Town School,gts.instructure.com,,0
Globalskolen,globalskolen.instructure.com,,0
GOAL Digital Academy,gda.instructure.com,,0
Golden Gate University,ggu.instructure.com,,0
Golden Valley International School - GVS B groups - Costa Rica,gvsinternational.instructure.com,,0
Golden Valley Local School - GVS A groups - Costa Rica,gvslocal.instructure.com,,0
Goldey-Beacom College,gbcollege.instructure.com,,0
Goldfarb School of Nursing at Barnes Jewish College,bjc.instructure.com,,0
Golisano Institute for Business and Entrepreneurship,golisanoinstitute.instructure.com,,0
Gonzaga College High School,gonzaga.instructure.com,,0
Gonzales Adult School,gonzalesas.instructure.com,,0
Goochland Schools,goochlandschools.instructure.com,,0
Good Samaritan Colleges,goodsam.instructure.com,,0
Goodwin University,goodwin.instructure.com,,0
Gordon College,gordon.instructure.com,,0
Gordon-Conwell Theological Seminary,gordonconwell.instructure.com,,0
Gorokan High School,gorokanhs.instructure.com,,0
Goucher College,goucher.instructure.com,,0
Gould Academy,gouldacademy.instructure.com,,0
Grace Christian College,mygrace.instructure.com,,0
Grace Christian College Wodonga,gccw.instructure.com,,0
Grace College and Seminary,grace.instructure.com,,0
Grace School of Theology,gsot.instructure.com,,0
Graceland University,gracelanduniversity.instructure.com,,0
Graddings University,graddings.instructure.com,,0
Grafisch Lyceum Rotterdam,glr.instructure.com,,0
Grambling State University,grambling.instructure.com,,0
Granada Hills Charter,ghctk12.instructure.com,,0
Granville College,granville.instructure.com,,0
Gratz College,gratz.instructure.com,,0
Gray Stone Day School,graystone.instructure.com,,0
Grays Harbor College,ghc.instructure.com,,0
Grayson College,grayson.instructure.com,,0
Great Basin College,gbcnv.instructure.com,,0
Great Falls College MSU,gfcmsu.instructure.com,,0
Great Revelations Academy,greatrevelations.instructure.com,,0
Green Local Schools,glsd.instructure.com,,0
Greentree Preparatory Charter,greentreeprep.instructure.com,,0
Greenville City Schools,gcswave.instructure.com,,0
Greenville Presbyterian theological Seminary,gpts.instructure.com,,0
Greenwich Academy,greenwichacademy.instructure.com,,0
Greenwich Management College,gmc.instructure.com,,0
Grey High School,greyhighschool.instructure.com,,0
Grinnell College,grinnell.instructure.com,,0
Grossmont College,gcccd.instructure.com,,0
Groton School,groton.instructure.com,,0
Grove City Christian School,grovecitychristian.instructure.com,,0
Grundy Center Community Schools,gcspartans.instructure.com,,0
Guerin Catholic High School,guerincatholic.instructure.com,,0
Guilford College,guilfordcollege.instructure.com,,0
Gulf Coast State College,gcsc.instructure.com,,0
Gulf Shores City Schools,gsboe.instructure.com,,0
Gwinnett College,gwinnettcollege.instructure.com,,0
Gwynedd Mercy Academy High School,gmahs.instructure.com,,0
Gwynedd Mercy University,gmercyu.instructure.com,,0
H-Farm College,h-farmcollege.instructure.com,,0
Haarlem Campus,haarlem.instructure.com,,0
Habib University,hulms.instructure.com,,0
Hacienda La Puente Adult Education,hlpae.instructure.com,,0
Hacienda La Puente Unified,hlpschools.instructure.com,,0
Hallmark University,hallmarkuniversity.instructure.com,,0
Hamilton Community Schools - Michigan,hamiltonschools.instructure.com,,0
Hamilton County District of Education,hcde.instructure.com,,0
Hamilton Park Montessori School,hpms.instructure.com,,0
Hamilton Southeastern Schools,hse.instructure.com,,0
Hamline University,hamline.instructure.com,,0
Hampton City Schools Student and Teacher,hampton.instructure.com,,0
Hampton University,hamptonu.instructure.com,,0
Hannibal - LaGrange University,hlg.instructure.com,,0
Haque Academy,haqueacademy.instructure.com,,0
Hardin - Simmons University,hsutx.instructure.com,,0
Harding Academy of Memphis,hardingacademymemphis.instructure.com,,0
Harding University,harding.instructure.com,,0
Harmony Educational Services,harmonyed.instructure.com,,0
Harris-Stowe State University,hssu.instructure.com,,0
Harrisburg University of Science and Technology,harrisburgu.instructure.com,,0
Harrison College,harrison.instructure.com,,0
Harrisonburg City Schools,harrisonburg.instructure.com,,0
Hartlepool College,hartlepool.instructure.com,,0
Hartnell College,hartnell.instructure.com,,0
Harvard - Westlake School,hub.hw.com,,0
Harvard Business School,hbs.instructure.com,,0
Harvard Medical School,hms.instructure.com,,0
Harvey Mudd College,harveymuddcollege.instructure.com,,0
Hastings College,hastingscollege.instructure.com,,0
Haverford School,fords.instructure.com,,0
Havergal College,havergal.instructure.com,,0
Hawaiian Technology Academy,hta.instructure.com,,0
Hawken School,hawken.instructure.com,,0
Hawthorn Academy,hawthornacademy.instructure.com,,0
Hawthorne Math and Science Academy,hawthornemsa.instructure.com,,0
Hay Springs Public School,hsps.instructure.com,,0
Head-Royce School,headroyce.instructure.com,,0
Health and Harmony College,thriving.instructure.com,,0
Health Career Institute,hci.instructure.com,,0
Health Coaches Academy,learning.healthcoachesacademy.com,,0
Health Sciences High and Middle College,hshmc.instructure.com,,0
Heartland Community Schools,heartlandschools.instructure.com,,0
Heathdale Christian College,heathdale.instructure.com,,0
Hebrew Roots University,hebrewrootsuniversity.instructure.com,,0
Helena College University of Montana,helenacollege.instructure.com,,0
Helene Fuld College of Nursing,helenefuld.instructure.com,,0
Helix Charter High School,helix.instructure.com,,0
Hellenic College,hchc.instructure.com,,0
Helms College - Students and Instructors,helmscollege.instructure.com,,0
Henderson State University,henderson.instructure.com,,0
Herbert Wertheim College of Medicine,fiumedical.instructure.com,,0
Heritage Christian College,hcuc.instructure.com,,0
Heritage College Lake Macquarie,hclm.instructure.com,,0
Heritage College Perth,hcp.instructure.com,,0
Heritage E-STEM Magnet School Student - West St. Paul,isd197.instructure.com,,0
Heritage Valley Kennedy School of Nursing - HVK SON,heritagevalley.instructure.com,,0
Hernando Schools,hernandoschools.instructure.com,,0
Herzing University,herzing.instructure.com,,0
Hester Hornbrook Academy,hha.instructure.com,,0
High Point Christian Academy,hpcacougars.instructure.com,,0
High Road,highroad.instructure.com,,0
High School of Hospitality Management,hshmny.instructure.com,,0
High Tech Institute,hightechinstitute.instructure.com,,0
Higher Education Institute,hei.instructure.com,,0
Higher Education Leadership Group - hELI,heli.instructure.com,,0
Highlands Virtual School,hvs.instructure.com,,0
Hill Country Christian School Of Austin,hccsa.instructure.com,,0
Hillcrest Christian College,hillcrest.instructure.com,,0
Hilliard City Schools,hilliard.instructure.com,,0
Hillsboro Online Academy,hsdk12.instructure.com,,0
Hillsdale College,hillsdale.instructure.com,,0
Hillsong College,hillsong.instructure.com,,0
Hinton Community Schools,hintoncsd.instructure.com,,0
Hitachi Academy,hiac.instructure.com,,0
Holy Angel University,hau.instructure.com,,0
Holy Cross High School,holycross.instructure.com,,0
Holy Family University,holyfamily.instructure.com,,0
Holy Innocents Episcopal School,hies.instructure.com,,0
Holy Name University,holynameuniversity.instructure.com,,0
Holy Trinity School,hts.instructure.com,,0
Homestead Schools,homesteadschools.instructure.com,,0
HomeStem Academy,homestemacademy.instructure.com,,0
Hong Kong Academy for Performing Arts,hkapa.instructure.com,,0
Hong Kong Adventist Academy,hkaa.instructure.com,,0
Hong Kong Education City,hkedcity.instructure.com,,0
Hong Kong University of Science and Technology Guangzhou,hkust-gz.instructure.com,,0
Hood Theological Seminary,hoodseminary.instructure.com,,0
Hope Christian School,hopechristian.instructure.com,,0
Hope College,hope.instructure.com,,0
Hope International University,hiu.instructure.com,,0
Hopi Junior Senior High School,hjshs.instructure.com,,0
Horizon Christian School,horizon-sa.instructure.com,,0
Horizon: Digitally Enhanced Campus,okhorizon.instructure.com,,0
Hosei University - Hosei,hosei.instructure.com,,0
Hotchkiss School,hotchkiss.instructure.com,,0
HSLDA Online Academy,hslda.instructure.com,,0
Hudson Community Schools,hudsonpiratepride.instructure.com,,0
Hudson Institute,hudson.instructure.com,,0
Hull College Group,hcuk.instructure.com,,0
Hult Business School,hult.instructure.com,,0
Humanitas Bilingual School Torrejón [HBS Torrejón],humanitastorrejon.instructure.com,,0
Humanitas Bilingual School Tres Cantos [HBS Tres Cantos],humanitastrescantos.instructure.com,,0
Hunter Christian School,hunterchristian.instructure.com,,0
Hunter River High School,hunterriver.instructure.com,,0
Hunter School of Performing Arts,hspa.instructure.com,,0
Hunter Sports High School,hshs.instructure.com,,0
Huntingdon College,huntingdon.instructure.com,,0
Huntington County Community School Corporation,hccsc.instructure.com,,0
Huntsville City Schools,huntsvillecityschools.instructure.com,,0
Husson University,husson.instructure.com,,0
Hyles-Anderson College,hylesanderson.instructure.com,,0
Hólar University,holar.instructure.com,,0
Høyskolen Kristiania,kristiania.instructure.com,,0
IBA International Business Academy,iba.instructure.com,,0
IBGC - Instituto Brasileiro de Governanca Corporativa,ibgc.instructure.com,,0
ICL Business School,icled.instructure.com,,0
Idaho College of Osteopathic Medicine,icom.instructure.com,,0
Idaho Distance Education Academy,idahoidea.instructure.com,,0
Idaho Medical Academy,ima.instructure.com,,0
Idaho State University,isu.instructure.com,,0
IDEA Leadership and Management Institute,ideaed.instructure.com,,0
Ideal Institute of Technology,iitnj.instructure.com,,0
IEST Anáhuac - Instituto de Estudios Superiores de Tamaulipas,iest.instructure.com,,0
IFAW - Academy of Rescue and Conservation,ifaw-arc.instructure.com,,0
iGlobal University,igu.instructure.com,,0
Ignite Academy -UT- Teachers/Students,igniteacademy.instructure.com,,0
Ikon Institute of Australia,ikon.instructure.com,,0
Iliff School of Theology,iliff.instructure.com,,0
Illinois Central College,icc.instructure.com,,0
Illinois Institute of Nursing Sudies,illinoisinstituteofnursingstudies.instructure.com,,0
Imagine Education Australia,imagineeducation.instructure.com,,0
Imagine Preparatory At Superstition Middle,imaginesuperstitionmiddle.instructure.com,,0
IMD Business School,imd.instructure.com,,0
Immaculate Heart of Mary Catholic School,cetas.instructure.com,,0
Imperial Valley College,imperial.instructure.com,,0
INALDE Business School,inalde.instructure.com,,0
INCAE Business School,incae.instructure.com,,0
Incarnate Word Academy,iwacademy.instructure.com,,0
Incarnation Catholic School,icstampa.instructure.com,,0
Indian River State College - Canvas Local Authentication,irsc.instructure.com,,0
Indiana State University,indstate.instructure.com,,0
Indiana University,iu.instructure.com,,0
Industri Education,industri.instructure.com,,0
Infinite Education - OPEC College,infiniteeducation.instructure.com,,0
Inha Technical College - INHATC,inhatc.instructure.com,,0
Inje University,inje.instructure.com,,0
Inkster Preparatory Academy,accelschoolsonlinemi.instructure.com,,0
Innovation Montessori,imo.instructure.com,,0
Innovation Montessori High School,imhs.instructure.com,,0
Insight Academy - Australia,insightacademy-au.instructure.com,,0
Inspired Education Group,canvas.inspirededucationschools.com,,0
Inspired Online Schools,weyeducation.instructure.com,,0
Institut Lyfe,institutlyfe.instructure.com,,0
Institut Paul Bocuse,institutpaulbocuse.instructure.com,,0
Institute for Adult,learningspacesg.instructure.com,,0
Institute for Community Inclusion,ici.instructure.com,,0
Institute for Doctoral Studies in the Visual Arts,idsva.instructure.com,,0
Institute for Multi-Sensory Education,imse.instructure.com,,0
Institute of American Indian and Alaska Native Culture,iaia.instructure.com,,0
Institute of Health & Management,ihm.instructure.com,,0
Institute of Health and Nursing Australia,ihna.instructure.com,,0
Institute of Industrial and Systems Engineers,iise.instructure.com,,0
Institute of Internal Communications,ioic.instructure.com,,0
Institute of Police Technology and Management,iptm.instructure.com,,0
Institute of Preventive Medicine Thailand,ipmddc.instructure.com,,0
Instituto Alestra,institutoalestra.instructure.com,,0
Instituto Bilingue Las Naciones,institutobilinguelasnaciones.instructure.com,,0
Instituto Carrión,acarrion.instructure.com,,0
Instituto de Directores de Chile - IdDC,aulaiddc.instructure.com,,0
Instituto de Emprendedores,institutodeemprendedores.instructure.com,,0
Instituto Epicentro,epicentro.instructure.com,,0
