institution,canvas_host,country,curated
Universitetet i Agder (University of Agder),uia.instructure.com,NO,1
Universitetet i Bergen (University of Bergen),uib.instructure.com,NO,1
Universitetet i Oslo (University of Oslo),uio.instructure.com,NO,1
Universitetet i Stavanger (University of Stavanger),stavanger.instructure.com,NO,1
Auckland University of Technology,aut.instructure.com,NZ,1
English Language Academy,learn.auckland.ac.nz,NZ,0
Manukau Institute of Technology,canvas.manukau.ac.nz,NZ,0
University of Auckland,canvas.auckland.ac.nz,NZ,1
Victoria University of Wellington,nuku.wgtn.ac.nz,NZ,1
Pontificia Universidad Catolica del Peru,pucp.instructure.com,PE,1
Universidad Cientifica del Sur,cientificavirtual.cientifica.edu.pe,PE,1
Ateneo de Manila University,ateneo.instructure.com,PH,1
Cebu Doctors University,cdu.instructure.com,PH,1
Central Philippine University,cpu.instructure.com,PH,1
Centro Escolar University,ceu.instructure.com,PH,1
De La Salle University,dlsu.instructure.com,PH,1
Far Eastern University,feu.instructure.com,PH,1
Lyceum of the Philippines Davao,lpudavao.instructure.com,PH,0
Mapua University,mapua.instructure.com,PH,1
National University - Philippines,nationaluniversity.instructure.com,PH,0
Northwestern University Philippines - NWU,nwu.instructure.com,PH,0
Philippine Legal Education Advancement Program - LEAP,thebigleap.instructure.com,PH,0
Technological Institute of the Philippines,tip.instructure.com,PH,1
University of Santo Tomas,ust.instructure.com,PH,1
Instituto Europeu de estudos superiores,canvas.iees.pt,PT,0
Universidad Autonoma del Paraguay,canvas.uap.edu.py,PY,0
Chalmers tekniska högskola (Chalmers University of Technology),canvas.chalmers.se,SE,1
"Forshaga Vuxenutbildning, Forshaga Yrkeshögskola",forshaga.instructure.com,SE,0
Gymnastik-och idrottshögskolan,gih.instructure.com,SE,0
Göteborgs universitet (University of Gothenburg),canvas.gu.se,SE,1
HS - Högskolan i Skövde,his.instructure.com,SE,0
Högskolan Dalarna (Dalarna University),canvas.du.se,SE,1
"Högskolan i Borås, University of Boras",hb.instructure.com,SE,0
"Högskolan i Gävle, University of Gavle",hig.instructure.com,SE,0
Karlstads universitet (Karlstad University),canvas.kau.se,SE,1
Kristinehamns folkhögskola KPS.,kps.instructure.com,SE,0
Kungliga Musikhögskolan,kmh.instructure.com,SE,0
Kungliga Tekniska högskolan (KTH Royal Institute of Technology),canvas.kth.se,SE,1
Luleå University of Technology,canvas.ltu.se,SE,0
Lunds universitet (Lund University),canvas.education.lu.se,SE,1
Mittuniversitetet (Mid Sweden University),canvas.miun.se,SE,1
Skurups folkhögskola,folkhogskola.instructure.com,SE,0
Stockholm School of Economics,sse.instructure.com,SE,1
Stockholms universitet (Stockholm University),canvas.su.se,SE,1
Teologiska Högskolan,ths.instructure.com,SE,0
"Umeå universitet, Umea University",canvas.umu.se,SE,0
Uppsala universitet (Uppsala University),uppsala.instructure.com,SE,1
National Institute of Early Childhood Development - NIEC,lms.niec.edu.sg,SG,0
National University of Singapore,canvas.nus.edu.sg,SG,1
"Nexus International School, Singapore - Staff and Learners",canvas.nexus.edu.sg,SG,0
SG Enable Academy - SGE,lms.sgenable.sg,SG,0
